en,fr
Changing Lives | Changing Society | How It Works | Technology Drives Change Home | Concepts | Teachers | Search | Overview | Credits | HHCC Web | Reference | Feedback Virtual Museum of Canada Home Page,"Il a transformé notre vie | Il a transformé la société | Son fonctionnement | La technologie, moteur du changement Accueil | Concepts | Enseignants | Recherche | Aperçu | Collaborateurs | Web HHCC | Ressources | Commentaires Musée virtuel du Canada"
Site map,Plan du site
Feedback,Rétroaction
Credits,Crédits
Français,English
What is light ?,Qu’est-ce que la lumière?
The white light spectrum Codes in the light The electromagnetic spectrum Emission spectra Absorption spectra Light-years Light pollution,La découverte du spectre de la lumière blanche Des codes dans la lumière Le spectre électromagnétique Les spectres d’émission Les spectres d’absorption Les années-lumière La pollution lumineuse
The sky of the first inhabitants A contemporary vison of the Universe Astronomy for everyone,Le ciel des premiers habitants La vision contemporaine de l'Univers L’astronomie pour tous
Cartoon,Bande dessinée
Links,Liens
Glossary,Glossaire
Observatories,Observatoires
Astronomers Introduction Introduction video What is Astronomy?,Astronomes Introduction Vidéo d'introduction Qu'est-ce que l'astronomie?
"Often considered the oldest science, it was born of our amazement at the sky and our need to question Astronomy is the science of space beyond Earth’s atmosphere.","Souvent considérée comme la plus ancienne des sciences, elle découle de notre étonnement et de nos questionnements envers le ciel L'astronomie est la science qui étudie l'Univers au-delà de l'atmosphère terrestre."
"The name is derived from the Greek root astron for star, and nomos for arrangement or law.","Son nom vient du grec astron, qui veut dire étoile et nomos, qui veut dire loi."
"Astronomy is concerned with celestial objects and phenomena – like stars, planets, comets and galaxies – as well as the large-scale properties of the Universe, also known as ""The Big Picture"".","Elle s'intéresse à des objets et des phénomènes tels que les étoiles, les planètes, les comètes, les galaxies et les propriétés de l'Univers à grande échelle."
"More specifically, astronomy is the study of the origin and evolution of the Universe, the physics and chemistry of celestial objects, and the calculation of their positions and motions.","Plus spécifiquement, elle étudie la formation et l'évolution de l'Univers, détermine les propriétés physiques et chimiques des objets célestes qu'il contient et mesure leurs déplacements."
"For most people, astronomy represents a world that is both mysterious and grandiose – a story about glimmering celestial objects and the immensity of the cosmos.","Pour la majorité des gens, l'astronomie évoque un monde à la fois mystérieux et grandiose, celui des étoiles et de l'immensité cosmique."
It prompts us to ask the deepest existential questions:,L'astronomie évoque donc aussi les grandes questions « existentielles » :
Who are we?,Où sommes-nous?
Where did we come from?,D'où venons-nous?
Are we alone?,Sommes-nous seuls?
The lure of these universal enigmas was the spark that ignited the passion of many of today’s famous astronomers.,L'attrait exercé par ces énigmes universelles a représenté l'étincelle initiale du parcours de nombreux grands astronomes.
Astronomy also plays a much more practical role that is not nearly as important today as it was in the past.,"L'astronomie possède également une dimension beaucoup plus pratique et « terre à terre », laquelle est moins apparente aujourd'hui."
"Since the time of our earliest ancestors, humans have used the motions of celestial objects to position themselves in space and time.","Depuis toujours, nous observons les mouvements du ciel pour nous repérer dans l'espace et le temps."
Prehistoric humans studied the relationship between the seasons and the length of days to plan their hunting and gathering activities.,"Ainsi, l'homme préhistorique connaît bien la relation existant entre la variation de la durée du jour et le cycle des saisons; il s'en sert pour planifier ses déplacements de chasse et de cueillette."
"It was also by observing the positions of the stars that the first farmers decided when to plant and when to harvest, and early navigators could sail the oceans blue.",C'est aussi en observant la position des étoiles que les premiers agriculteurs décident du moment des grandes étapes de leur travail et que les navigateurs se repèrent sur les mers.
"In the Age of Antiquity, astrometry – the measurement of the positions of stars and planets – was the main occupation of astronomers.","Durant l'Antiquité, l'astrométrie, qui est la mesure de la position des étoiles et des planètes, est la principale occupation des astronomes."
"There was some degree of interest for astronomy from the general public as well, since they believed that the positions of celestial objects influenced events that took place on Earth.","Pour le public, le travail n'est pas sans intérêt : on croit en effet que la position des objets célestes a un impact sur les évènements qui ont cours sur la Terre."
" During the Renaissance, advances in mathematics coupled with the invention of new observational instruments (like the refracting telescope) gave rise to modern astronomy."," Lors de la Renaissance, les progrès en mathématiques réalisés depuis l'Antiquité et l'invention de nouveaux instruments d'observation (comme la lunette astronomique) conduisent à la naissance de l'astronomie moderne."
"From the 19th century onwards, the discovery of the electromagnetic spectrum and the world of the atom spurred on the development of astrophysics, a new discipline in astronomy that is now considered to be the most important.","À partir de la fin du XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome va aussi mener à l'apparition d'une nouvelle branche de l'astronomie, la plus importante de nos jours : l'astrophysique."
"Today, astronomy covers several disciplines:","Aujourd'hui, l'astronomie comprend plusieurs disciplines dont :"
"◦ Astrometry, which is the precise measurement of the position of stars and planets, and which is greatly facilitated by the use of modern CCD cameras and computers","◦ L'astrométrie, qui se charge de mesurer la position des étoiles et des planètes (et dont la pratique est aujourd'hui facilitée par l'utilisation des caméras CCD et des ordinateurs)"
"◦ Stellar astronomy, which is the study of the origins and evolution of stars","◦ L'astronomie stellaire, qui étudie l'origine, la formation et l'évolution des étoiles"
"◦ Galactic astronomy, which studies the structure and components of galaxies","◦ L'astronomie galactique, qui étudie la structure et les composants des galaxies"
"◦ Astrophysics, which studies the Universe and the physics of its constituents (luminosity, temperature, chemical composition)","◦ L'astrophysique, qui étudie la physique de l'Univers et les propriétés physiques de ses constituants (luminosité, température, composition chimique)"
"◦ Cosmology, which studies the origin and evolution of the Universe as a whole Related to these fields of research are two disciplines that lie more within the domain of geologists and biologists: planetary science, which is the study of asteroids, comets and planets, and astrobiology, which studies the possibility of life in the Universe.","◦ La cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble À ces domaines de recherche se rattachent deux disciplines qui sont surtout l'apanage des géologues et des biologistes : les sciences des planètes, qui se chargent de l'étude des astéroïdes, des comètes et des planètes, et l'astrobiologie, qui se charge de l'étude des possibilités de vie dans l'Univers."
"Nowadays, professional astronomers have a strong background in astrophysics and their observations are almost always examined in an astrophysical context.","Actuellement, les astronomes professionnels ont tous une formation poussée en astrophysique et leurs observations sont presque toujours étudiées dans un contexte astrophysique."
"The most serious amateurs actively participate in the study of variable stars, the discovery of new asteroids or comets, and other exciting astronomical work.","Les astronomes amateurs jouent également un rôle important en recherche; les plus sérieux participant couramment au suivi d'étoiles variables, à la découverte de nouveaux astéroïdes et de nouvelles comètes, etc."
Video Sequence  John Richard Bond explains what the purpose of astronomy is .,Séquence vidéo  John Richard Bond explique le rôle de l'astronomie.
© 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,© 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,Astronomes © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers Timeline,Astronomes Ligne de temps
Verbatim A journey into Canadian astronomy,Verbatim L'aventure astronomique canadienne
"Instruments The ancient Egyptians use the transit for the first time about 4,000 years ago.","Instruments Les Égyptiens utilisent le transit pour la première fois, environ 2000 ans avant Jésus-Christ."
Instruments The astrolab and octant are the predecessors of the sextant.,Instruments L'astrolabe et l'octant sont les ancêtres du sextant.
"Observatories For thousands of years, native people use the stars to navigate and to monitor the passage of time.","Observatoires Depuis des milliers d'années, les autochtones observent les étoiles pour se repérer dans l'espace et le temps."
"Stars are also the inspiration for native legends, which are passed down from generation to generation.",Ils s'en inspirent aussi pour créer des légendes fabuleuses transmisent de génération en génération.
"Instruments The Assyrians are likely the first to use lenses to magnify objects, probably around 1,500 BC.",Instruments Les Assyriens sont vraisemblablement les premiers à utliser la lentille pour grossir les objets aux environs de 1500 ans avant Jésus-Christ.
"Evolution of images Flemish painter Jan van Eyck makes the first known drawing of the Moon in his painting entitled ""The crucifixion"".","ÉvolutionImages Le peintre flamand Jan van Eyck réalise le dessin le plus ancien connu de la Lune dans son tableau intitulé ""La crucifixion""."
"Observatories By exploring Newfoundland, John Cabot becomes the first known European to set foot on Canadian soil.","Observatoires En explorant Terre-Neuve, John Cabot est le premier Européen reconnu à fouler le sol canadien."
"Like all explorers of his time, he navigates using the stars.","Comme tous les navigateurs de l'époque, il se dirige grâce aux étoiles."
Evolution of images Leonardo da Vinci draws this sketch of the Moon.,ÉvolutionImages Leonard de Vinci effectue ce croquis de la Lune.
Observatories Jacques Cartier explores the continental interior.,Observatoires Jacques Cartier explore l’intérieur du continent.
He finds the mouth of the Saint-Lawrence during the Perseid meteor shower.,Il trouve l'entrée du fleuve Saint-Laurent au moment de la pluie d'étoiles filantes des Perséides.
Instruments Leonard Digges constructs the first telescope using lenses.,Instruments Léonard Digges réalise en Angleterre le premier assemblage de lentilles en une lunette d'approche.
"Observatories The roots of astronomy take hold in Canada with the arrival of Samuel de Champlain, the first governor of New France.","Observatoires L’astronomie fait ses débuts au Canada avec l'arrivée du premier gouverneur de la Nouvelle-France, Samuel de Champlain."
Evolution of images British astronomer Thomas Harriot uses a refracting telescope to make the first sketch of the Moon many months before Galileo performs the same feat.,ÉvolutionImages Le Britannique Thomas Harriot réalise (plusieurs mois avant Galilée) le premier croquis de la Lune à partir d'une lunette astronomique.
"Instruments In Italy, Galileo publishes ""The Starry Messenger"" and makes revolutionary astronomical observations using a telescope he built himself.","Instruments En Italie, Galilée publie «Le messager des étoiles» et résume les observations astronomiques révolutionnaires qu'il a effectuées avec une lunette astronomique de sa fabrication."
Observatories Jesuits record the first astronomical observations made in Canada.,Observatoires Les Jésuites rapportent les premières observations astronomiques faites à partir du Canada.
Observatories Astronomy becomes an official task assigned to the Engineer-in-Chief and Land Surveyor for the New France colony in Quebec.,Observatoires L’astronomie devient officiellement partie intégrante des tâches de l’Ingénieur de Québec et Arpenteur général de la colonie.
Observatories Jean Bourdon is the first Canadian to own a telescope.,Observatoires Jean Bourdon est le premier Canadien à posséder une lunette astronomique.
"Evolution of images The first known drawing of the Orion nebula, drawn by Giovanni Batista Hodierna.",ÉvolutionImages Premier dessin connu de la nébuleuse d’Orion par Giovanni Batista Hodierna.
1667 : pollution Louis XIV commands all roads in the capital of Paris to be lit at night in order to combat thefts and other crimes.,1667 : pollution Louis XIV impose l’éclairage de toutes les rues de la capitale (Paris) pour lutter contre les vols et les crimes.
Instruments Isaac Newton builds his telescope.,Instruments Isaac Newton fabrique son télescope.
Instruments Rasmus Bartholin publishes the first article on the splitting of light rays by Icelandic spar.,Instruments Rasmus Bartholin publie le premier article sur la double réfraction de la calcite d'Islande.
"Instruments In France, Laurent Cassegrain invents a new type of reflecting telescope.","Instruments En France, Laurent Cassegrain invente un nouveau type de télescope."
Instruments The modern version of the sextant is independently invented by John Hadley in England and Thomas Godfrey in the United States.,Instruments La version moderne du sextant est inventée indépendamment par le Britannique John Hadley et l'Américain Thomas Godfrey.
Observatories Evidence suggests that an astronomical observatory is installed at the College of Quebec.,Observatoires Indices d'installation d'un observatoire astronomique au Collège de Québec.
Observatories An engraving showing the image of sky observers outdoors with an astronomical instrument at the Fortress of Louisbourg in Nova Scotia.,Observatoires Une gravure montre des observateurs utilisant un instrument astronomique à la forteresse de Louisbourg en Nouvelle-Écosse.
It is likely that a temporary observatory existed for a short time in the fortress.,Il est probable qu'un observatoire temporaire y ait existé.
"Observatories The first North American observatory that existed with historical certainty is constructed at Castle Frederick, an estate founded by Joseph DesBarres at Falmouth, Nova Scotia","Observatoires Le premier observatoire en Amérique du Nord dont l’existence est certaine: celui de Castle Frederick, établi par Joseph Desbarres à Falmouth en Nouvelle-Écosse."
Evolution of images Charles Messier makes this drawing of the Orion nebula.,ÉvolutionImages Charles Messier réalise ce dessin de la nébuleuse d’Orion.
Evolution of images The first map of the Moon with longitudes and latitudes.,ÉvolutionImages La première carte lunaire où sont indiquées les longitudes et les latitudes.
"German astronomer Tobias Mayer drew the base map in the 1850's, but the longitudes and latitudes were added in 1775, after his death.","La carte de base fut dessinée dans les années 1850 par l'astronome allemand Tobias Mayer; les longitudes et latitudes sont ajoutées après sa mort, en 1775."
1792 : pollution William Murdoch invents the natural gas lamp and cities in Britain begin to light their streets using natural gas.,1792 : pollution William Murdoch invente la lampe à gaz et les villes de Grande-Bretagne commencent à éclairer leurs rues au gaz.
Instruments French astronomer Dominique François Jean Arago invents the polariscope.,Instruments L’astronome français Dominique François Jean Arago invente le polariscope.
Instruments Joseph Nicéphore Niépce succeeds in making the first photograph on paper.,Instruments La première photo sur papier par Joseph Nicéphore Niépce.
Instruments French inventor Joseph Nicéphore Niépce makes the first permanent photograph using a sheet of polished tin coated with bitumen.,Instruments Le Français Joseph Nicéphore Niépce réussit la première photographie permanente au moyen d'une feuille d'étain enduite de bitume.
Instruments British astronomer John Frederick William Herschel invents the photometer.,Instruments L’astronome britannique John Frederick William Herschel invente le photomètre.
Instruments French optician Noël Marie Paymal Lerebours photographs the Sun for the first time.,Instruments Le Soleil est photographié pour la première fois par l’opticien français Noël Marie Paymal Lerebours.
Evolution of images American physician and chemist John William Draper takes this daguerreotype of the Moon.,ÉvolutionImages Le médecin et chimiste américain John William Draper prend ce daguerréotype de la Lune.
"Observatories Dr. Charles Smallwood establishes an observatory at Saint-Martin on Quebec’s Île Jésus (now ""Laval"").","Observatoires L'observatoire de l'Île Jésus du Dr. Charles Smallwood à Saint-Martin (aujourd’hui Laval), au Québec."
"Observatories Dr. James Toldervy of Fredericton, New Brunswick, creates an observatory in his garden near the Saint John River.",Observatoires L'observatoire du Dr. James Toldervy à Fredericton au Nouveau-Brunswick.
Evolution of images Lord Rosse makes this drawing of the Orion nebula.,ÉvolutionImages Lord Rosse effectue ce croquis de la nébuleuse d’Orion.
Observatories The Quebec City Observatory is established on the Plains of Abraham.,"Observatoires Création de l'observatoire de Québec, sur les Plaines d'Abraham."
Evolution of images American photographer John Adams Whipple takes this daguerreotype of the Moon.,ÉvolutionImages Le photographe américain John Adams Whipple prend ce daguerréotype de la Lune.
Astronomes William Frederick King is born.,Astronomes Naissance de William Frederick King.
"Observatories The Kingston Observatory is established in London, Ontario.",Observatoires Création de l'observatoire de Kingston en Ontario.
Instruments German chemist Robert Wilhelm Bunsen and German physicist Gustav Robert Kirchhoff invent the first spectroscope.,Instruments Invention du spectroscope par le chimiste allemand Robert Wilhelm Bunsen et le physicien allemand Gustav Robert Kirchhoff.
Instruments Scottish physicist James Clerk Maxwell creates the first colour photograph using filters made of coloured glass plates.,Instruments Le physicien écossais James Clerk Maxwell réalise la première photographie en couleurs au moyen de filtres de verre colorés.
"Observatories The King College Observatory is established in Windsor, Nova Scotia.","Observatoires Création de l'observatoire du Collège King, à Windsor en Nouvelle-Écosse."
"Observatories The McGill University Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de l'Université McGill, à Montréal au Québec."
Astronomes John Stanley Plaskett is born.,Astronomes Naissance de John Stanley Plaskett.
Astronomes Clarence Augustus Chant is born.,Astronomes Naissance de Clarence Augustus Chant.
Evolution of images British astronomer and chemist Warren De La Rue takes this photograph of the Moon.,ÉvolutionImages L'astronome et chimiste britannique Warren De La Rue prend cette photographie de la Lune.
De La Rue becomes the first person to print photos.,De La Rue est le premier à parvenir à imprimer des photographies.
"Observatories The Charles Blackman Observatory is established in Montreal, Quebec.","Observatoires Création de l'observatoire de Charles Blackman, à Montréal au Québec."
"Instruments American inventor George Eastman (who would go on to found the Eastman-Kodak company in 1892) builds a machine for coating photographic plates with emulsion, which allows for the mass production of photographs.",Instruments L'inventeur américain George Eastman (fondateur de la cie Eastman-Kodak) construit une machine enduisant les plaques photos d’émulsion et permettant de les produire en grand nombre.
